Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
Фармлэнд,Фармацевтика,pharmland.by,Директор по операциям / директор по качеству,Генеральный директор — Благовещенский С.Ю.,+375 17 262-49-94; +375 17 373-31-90; +375 1770 5-52-31; +375 1770 5-52-32; +375 1770 5-53-58,mail@pharmland.by,,B,собран
Минскинтеркапс,Фармацевтика,mic.by,Директор по операциям / директор по качеству,Директор — Андрейченко В.,+375 17 344-56-23; +375 17 322-28-34; +375 17 276-01-52; +375 44 511-26-90,info@mic.by; kadry@mic.by,,B,собран
Несвижский завод медпрепаратов,Фармацевтика,nzmp.net,Директор по операциям / директор по качеству,Директор — Живень Г.А.; Заместитель директора по качеству — Смалюк Е.В.,+375 1770 62-001; +375 1770 6-20-22; +375 1770 6-20-05; +375 1770 6-20-47,priem@nzmp.net; legal@nzmp.net,,B,собран
НПК Биотест,Фармацевтика,biotest.by,Директор по операциям / директор по качеству,Директор — Дорошкевич Н.А.; Коммерческий директор — Рысенко А.В.,+375 29 640-76-40; +375 152 96-71-46,info@biotest.by,,B,собран
Экзон,Фармацевтика,ekzon.by,Директор по операциям / директор по качеству,Директор — Репич А.Д.,+375 1644 2-00-04; +375 1644 2-00-02; +375 1644 5-93-29; +375 1644 5-93-16; +375 1644 3-07-37,bm@ekzon.by; director@ekzon.by,,B,собран
ЛОДЭ,Медицина,lode.by,Операционный директор / IT-директор,Директор и основатель — Горбачев В.В.,+375 17 293-98-00; +375 29 638-30-03; +375 29 270-10-03; 111,minskz@mail.lode.by,,B,собран
Нордин,Медицина,nordin.by,Операционный директор / IT-директор,Директор — Ступиш И.; Основатель — Сайков Д.,+375 17 296-62-72; +375 44 506-01-59; +375 25 607-01-59; +375 33 607-01-59; +375 29 222-21-59; 159,info@nordin.by; marketing@nordin.by,,B,собран
Экомедсервис,Медицина,ems.by,Операционный директор / IT-директор,Генеральный директор — Рыжко И.Н.,+375 17 249-74-74; +375 17 207-74-74; +375 29 160-03-03; 160,info@ems.by,,B,собран
Доктор Профи,Медицина,doctorprofi.by,Операционный директор / IT-директор,,+375 17 270-01-06; +375 17 270-01-08; +375 29 323-75-03; +375 29 838-75-03; +375 25 500-10-58,registry@doctorprofi.by,,B,собран
Евроторг (Евроопт),Ритейл,evroopt.by,Директор по маркетингу / e-commerce директор,Генеральный директор — Кукурузин В.; Председатель совета директоров — Литвин А.,+375 17 289-00-00; +375 17 212-70-97; +375 17 278-80-01,info@eurotorg.by,,A,собран
Доброном,Ритейл,dobronom.by,Директор по маркетингу / e-commerce директор,Генеральный директор — Белинский О.,+375 17 235-99-66; +375 17 362-98-76; +375 29 144-70-00,info@dobronom.by,,A,собран
Санта Ритейл,Ритейл,santaretail.by,Директор по маркетингу / e-commerce директор,Генеральный директор группы компаний Санта — Мошенский А.М.,+375 162 30-14-00; +375 16 229-01-00; +375 17 388-14-85; +375 29 388-87-68,info@santaretail.by,,A,собран
Корона (Табак-инвест),Ритейл,korona.by,Директор по маркетингу / e-commerce директор,Председатель совета директоров и владелец — Топузидис П.Г.; Директор — Петрович В.,+375 17 309-54-50; +375 17 373-52-19; +375 17 269-64-64; +375 162 25-94-80; +375 212 54-05-03; +375 212 62-23-49; +375 17 207-14-04; +375 17 207-16-00; +375 17 207-16-05; +375 29 611-26-49,tabak@tabak-invest.by; arenda@korona.by,,A,собран
Гиппо,Ритейл,gippo.by,Директор по маркетингу / e-commerce директор,,+375 29 533-65-33; +375 29 133-32-53; +375 17 207-50-40; +375 17 378-50-40,bwd@willesden.by; reklama@willesden.by; sb@willesden.by; arenda@willesden.by,,A,собран
Виталюр,Ритейл,vitalur.by,Директор по маркетингу / e-commerce директор,Генеральный директор — Яцук В.А.; Директор по развитию сети — Яцук Ю.А.,+375 17 243-06-60; +375 17 397-70-60; +375 17 326-06-76; +375 17 366-83-10; +375 222 62-98-21,vitalur@vitalur.by; opt-mogilev@vitalur.by,,A,собран
Соседи,Ритейл,sosedi.by,Директор по маркетингу / e-commerce директор,Генеральный директор — Аванесов В.,+375 29 382-66-00; +375 33 382-66-00; +375 17 334-82-33; +375 17 209-67-99; +375 17 250-64-26; +375 17 201-58-73,info@sosedi.by,,A,собран
Мила,Ритейл,mila.by,Директор по маркетингу / e-commerce директор,Директор ООО Парфюм Трейд — Никитин Б.А.,+375 29 373-00-88; +375 33 373-00-88; +375 29 143-02-02,shop@mila.by; info@mila.by; or@mila.by; km@mila.by,,A,собран
Остров чистоты,Ритейл,ostrov-chistoty.by,Директор по маркетингу / e-commerce директор,Директор — Старовойтов К.; Директор по маркетингу — Кузьмич С.,+375 17 270-24-42; +375 29 659-00-45; +375 29 192-41-73; +375 29 693-64-69; +375 29 632-28-35,info@ostrov-chistoty.by; zakupki@ostrov-chistoty.by; logist@ostrov-chistoty.by; snab@ostrov-chistoty.by,,A,собран
Рублёвский,Ритейл,rublevski.by,Директор по маркетингу / e-commerce директор,,+375 17 284-67-88; +375 17 284-78-64; +375 232 54-96-03,partner@rublevski.by,,A,собран
5 элемент,Ритейл,5element.by,Директор по маркетингу / e-commerce директор,Директор — Морозов М.И.; Председатель совета директоров ЗАО Патио — Балабин А.А.,+375 17 359-59-59; 275; +375 29 570-07-00; +375 44 570-07-00; +375 25 670-07-00,275@5element.by,,A,собран
ОМА,Ритейл,oma.by,Директор по маркетингу / e-commerce директор,Генеральный директор — Мерта С.А.; Заместитель директора по электронной коммерции — Гурков И.,+375 17 330-10-10; 536-45-00; +375 29 787-36-26; +375 29 183-55-80; +375 29 823-08-23; +375 29 645-06-28; +375 29 715-88-05; +375 29 613-88-03; +375 29 616-70-39,info@oma.by; grodno@oma.by; brest@oma.by; vitebsk@oma.by; gomel@oma.by,,A,собран
Green,Ритейл,green-market.by,Директор по маркетингу / e-commerce директор,Основатель / собственник — Кирейков Г.; Коммерческий директор — Семененко А.,+375 44 560-60-61; +375 17 362-34-48; +375 17 362-17-60; +375 17 235-37-44,callcenter@green-market.by,,A,собран
21vek.by,E-commerce,21vek.by,Директор по продукту / директор по маркетингу,Управляющий и сооснователь — Войнилович С.,+375 17 302-10-21; +375 29 302-10-21; +375 33 302-10-21; +375 25 502-10-21,info@21vek.by; beznal@21vek.by; opt@21vek.by,,B,собран
Oz.by,E-commerce,oz.by,Директор по продукту / директор по маркетингу,Основатель — Гриневич А.,+375 29 695-25-25,oz@oz.by; android.support@ozalliance.by,,B,собран
Onliner,E-commerce,onliner.by,Директор по продукту / директор по маркетингу,Директор — Кожуро Д.П.; Главный редактор — Гомелявый А.А.,+375 17 270-13-30,editor@onliner.by; info@onliner.by; ga@onliner.by,,B,собран
Kufar,E-commerce,kufar.by,Директор по продукту / директор по маркетингу,Директор — Лемешева Т.,+375 44 793-00-34; +375 33 732-83-37,marketing@kufar.by; customerservice@kufar.by,,B,собран
Deal.by,E-commerce,deal.by,Директор по продукту / директор по маркетингу,Руководитель — Маринич М.; Руководитель отдела разработки продукта — Портной И.,+375 17 215-02-24,hello@deal.by,,B,собран
Shop.by,E-commerce,shop.by,Директор по продукту / директор по маркетингу,Директор — Комков В.,+375 29 145-77-45,info@shop.by; admin@shop.by; moderator@shop.by,,B,собран
Tomas.by,E-commerce,tomas.by,Директор по продукту / директор по маркетингу,,+375 17 382-00-62; +375 740 740-97-40,,,B,частично
UniShop.by,E-commerce,unishop.by,Директор по продукту / директор по маркетингу,,,,,B,не найден
av.by,E-commerce,av.by,Директор по продукту / директор по маркетингу,Директор — Метелица М.,+375 29 505-77-77; +375 29 693-77-77,support@av.by,,B,собран
realt.by,E-commerce,realt.by,Директор по продукту / директор по маркетингу,Основатель и директор — Мартыненко А.,+375 17 388-25-25; +375 29 306-44-55; +375 33 300-44-55; +375 25 506-44-55; +375 44 777-22-22; +375 25 912-05-89,marketing@realt.by; help@realt.by; al@realt.by,,B,собран
Белинтертранс-ТЛЦ БЖД,Логистика,belint.by,Директор по операциям / IT-директор,Генеральный директор — Сладкевич А.; Директор ТЛЦ Минск — Минин О.В.,+375 17 225-82-60; +375 17 225-30-30; +375 17 225-84-25; +375 17 225-84-48; +375 17 225-82-22; +375 162 26-36-69; +375 232 95-24-94; +375 232 34-53-27; +375 222 64-90-42; +375 29 625-30-30,priem_minsk@belint.by; marketing@belint.by; marketing_tlc@belint.by; brest@belint.by; gomel@belint.by; mogilev@belint.by,,B,собран
Белтаможсервис,Логистика,declarant.by,Директор по операциям / IT-директор,Генеральный директор — Коваленок Д.,197; +375 17 275-57-88; +375 17 500-17-01; +375 162 500-180; +375 212 36-43-39; +375 232 49-21-02; +375 152 71-50-71; +375 222 79-93-23,office@btslogistics.by; office@minsk.declarant.by; office@brest.declarant.by; bts@grodno.declarant.by; postmaster@mogilev.declarant.by,,B,собран
Krafttrans,Логистика,krafttrans.by,Директор по операциям / IT-директор,Генеральный директор — Гарник Ю.В.,+375 17 399-10-10,info@krafttrans.com,,B,собран
Европочта,Логистика,evropochta.by,Директор по операциям / IT-директор,,+375 44 535-36-36; +375 25 535-36-36; +375 29 535-36-36,postcar@evropochta.by; arenda@e-dostavka.by,,B,собран
Белавиа,Транспорт,belavia.by,Директор по клиентскому сервису / IT-директор,Генеральный директор — Чергинец И.,+375 17 220-25-55,support@belavia.by;info@belavia.by,,B,собран
Белорусская железная дорога,Транспорт,rw.by,Директор по клиентскому сервису / IT-директор,Начальник дороги — Веренич В.Е.,+375 17 225-46-95; +375 17 225-10-02; +375 17 225-41-92; 105; 151,brail@rw.by,,B,собран
Белпочта,Транспорт,belpost.by,Директор по клиентскому сервису / IT-директор,Генеральный директор — Юркевич С.,+375 17 293-59-10; +375 17 200-04-06; 154; +375 44 5900-154; +375 33 3000-154,office@belpost.by,https://www.instagram.com/belpostby/; https://www.facebook.com/belpost.by/,B,собран
Минсктранс,Транспорт,minsktrans.by,Директор по клиентскому сервису / IT-директор,Генеральный директор — Гололобов К.,+375 17 219-86-01; +375 17 375-99-50; +375 17 246-97-47; +375 17 375-94-84,info@minsktrans.by,,B,собран
Национальный аэропорт Минск,Транспорт,airport.by,Директор по клиентскому сервису / IT-директор,Генеральный директор — Череухин В.,+375 17 279-14-36; +375 17 279-13-00; +375 17 279-17-30; +375 17 279-21-71; +375 17 279-10-53; +375 17 279-17-68; 211,info@airport.by;quality@airport.by,,B,собран
AMDG (Artox Media Digital Group),Реклама / маркетинг,amdg.by,Управляющий / директор по развитию,Директор агентства — Чуркин П.,+375 17 388-72-73; +375 17 336-62-00,info@artox-media.by;zakaz@artox-media.by,,B,собран
Webmart,Реклама / маркетинг,webmart.by,Управляющий / директор по развитию,,+375 29 182-82-75,ad@webmart.by,,B,собран
Линк Медиа,Реклама / маркетинг,link-media.by,Управляющий / директор по развитию,,+375 29 870-26-55,mail@link-media.by,,B,собран
АТИБ,Реклама / маркетинг,atib.by,Управляющий / директор по развитию,,+375 29 305-47-00,info@atib.by,https://www.instagram.com/atib_by/,B,собран
Мегаполис Медиа,Реклама / маркетинг,megapolis-reklama.by,Управляющий / директор по развитию,,+375 17 336-43-64; +375 33 642-04-20; +375 29 623-30-00,info@megapolis.info,https://www.instagram.com/megapolis.media/; https://www.facebook.com/media.megapolis/; https://vk.com/megapolis.media,B,собран
Whale Studio,Реклама / маркетинг,whale.by,Управляющий / директор по развитию,CEO и владелец — Вилисов Н.С.,+375 29 624-28-24,info@whale.by;hello@whale.by,https://www.facebook.com/we.whale.by/,B,собран
Nambawan,Реклама / маркетинг,nambawan.by,Управляющий / директор по развитию,,+375 29 390-56-65,zakaz@silverweb.by,,B,собран
OCTOPANCE,Реклама / маркетинг,octopance.com,Управляющий / директор по развитию,Основатель — Денисов Д.,+375 44 583-82-52,info@octopance.com,,B,собран
Segmentsoft,Реклама / маркетинг,segmentsoft.by,Управляющий / директор по развитию,,+375 29 275-91-30,hello@segmentsoft.by,,B,собран
Qmedia,Реклама / маркетинг,qmedia.by,Управляющий / директор по развитию,Директор — Стальмаков В.В.; Директор по развитию — Степанова Е.,+375 29 335-23-23,sales@qmedia.by,,B,собран
SCAND,IT,scand.by,Директор по развитию / CTO,,+375 17 218-33-19; +375 17 256-08-77,job@scand.by;info@scand.com,,B,собран
SoftTeco,IT,softteco.com,Директор по развитию / CTO,CEO и основатель — Куцко А.; CTO и сооснователь — Шевчик А.,+375 17 241-90-25,minsk@softteco.com,,B,собран
Aristek Systems,IT,aristeksystems.com,Директор по развитию / CTO,CEO — Толкачёв С.,+375 29 744-23-52,sales@aristeksystems.com,,B,собран
Bamboo Agile,IT,bambooagile.eu,Директор по развитию / CTO,Основатель — Герчиков В.,+375 17 239-06-00; +375 17 239-06-01; +375 17 239-06-08; +375 29 507-61-11; +375 44 712-18-25,contact@bamboogroup.eu;contact@bambooagile.eu,https://ee.linkedin.com/company/bambooagile,B,собран
Melsoft Games,IT,melsoft-games.com,Директор по развитию / CTO,CEO — Яранцев А.,+375 17 264-24-09; +375 17 290-83-60,info@melsoft-games.com,https://ru-ru.facebook.com/MelsoftGames/,B,собран
SumatoSoft,IT,sumatosoft.com,Директор по развитию / CTO,CEO и основатель — Шамрей Ю.; CTO и сооснователь — Шидловский В.,+375 17 373-69-11,info@sumatosoft.com,,B,собран
Oxagile,IT,oxagile.com,Директор по развитию / CTO,CEO и сооснователь — Карпович Д.; CTO и сооснователь — Марчук С.,+375 17 372-68-34; +375 17 374-88-34,contact@oxagile.by;contact@oxagile.com,,B,собран
Belitsoft,IT,belitsoft.com,Директор по развитию / CTO,Генеральный директор — Турсин В.,+375 25 694-36-77,info@belitsoft.com,,B,собран
HQSoftware,IT,hqsoftwarelab.com,Директор по развитию / CTO,CEO — Лемешев А.; Основатель и член правления — Вардоматский С.,+375 17 203-46-14; +375 29 911-81-91,hr@hqsoftwarelab.com;team@hqsoftwarelab.com,https://ru.linkedin.com/company/hq-software,B,собран
ITRex Group,IT,itrexgroup.com,Директор по развитию / CTO,CEO и сооснователь — Лихадзед В.,+375 17 218-33-56,hello@itrexgroup.com,https://www.facebook.com/itrexgroup/,B,собран
Innowise Group,IT,innowise-group.com,Директор по развитию / CTO,CEO и сооснователь — Арлоу П.; CTO — Назаревич Д.; COO — Демешкевич П.,+375 29 548-34-11; +375 29 371-73-45; +375 29 104-33-27,contact@innowise-group.com,,B,собран
IntexSoft,IT,intexsoft.com,Директор по развитию / CTO,CEO и сооснователь — Шашков В.,+375 152 96-43-72,contact@intexsoft.by; contact@intexsoft.com,,B,собран
Exadel,IT,exadel.com,Директор по развитию / CTO,Основатель — Кац Ф.; COO — Круковская Е.; Chief Delivery Officer — Гиржадович А.,+375 17 377-17-60,minsk@exadel.com; hire_now@exadel.com,,B,собран
LeverX,IT,leverx.com,Директор по развитию / CTO,CEO президент и сооснователь — Лозинский В.,+375 17 252-22-00,contact-leverx@leverx.com; marketing@leverx.com; hrpr@leverx.com; media@leverx.com; compliance@leverx.com,,B,собран
VironIT,IT,vironit.com,Директор по развитию / CTO,Основатель — Осипов М.,+375 17 336-53-06,info@vironit.ru,,B,собран
SENLA,IT,senlainc.com,Директор по развитию / CTO,Основатель и CEO — Данилов И.,+375 29 988-14-01,info@senlainc.com; marketing@senlainc.com; sales-uk@senlainc.com,,B,собран
Solbeg,IT,solbeg.com,Директор по развитию / CTO,Основатель — Юрков А.,+375 17 373-69-11; +375 17 261-15-08; +375 29 662-66-54,info@solbeg.com; business@solbeg.com,,B,собран
Qulix Systems,IT,qulix.com,Директор по развитию / CTO,CEO и сооснователь — Макаров А.; Директор по развитию бизнеса — Арабей А.; CTO — Шеверов И.; COO — Тихонович В.,+375 17 306-38-68,request@qulix.com; info@qulix.com,,B,собран
Digiteum,IT,digiteum.com,Директор по развитию / CTO,Сооснователь и со-CEO — Гребенников М.; Сооснователь и со-CEO — Лазаревич Е.,+375 17 288-60-05,hello@digiteum.com,,B,собран
EnCata,IT,encata.net,Директор по развитию / CTO,Основатель — Кондрашов О.; CEO — Дик А.,+375 17 246-44-70; +375 29 664-05-42,ask@encata.net,,B,собран
EffectiveSoft,IT,effectivesoft.com,Директор по развитию / CTO,CEO — Качаев А.; Основатель — Кирковский А.,+375 17 342-01-37,sales@effectivesoft.com; hrm@effective-soft.com,,B,собран
SLAM,IT,slam.by,Директор по развитию / CTO,Коммерческий директор и сооснователь — Повшок И.; Технический директор и сооснователь — Герасимич Д.,+375 44 564-45-64; +375 44 711-94-32,info@slam.by; hr@slam.by; buh@slam.by,,B,собран
Promwad,IT,promwad.com,Директор по развитию / CTO,Основатель и CEO — Пахолков Р.,+375 17 312-12-46,info@promwad.com,,B,собран
ActiveCloud,IT,activecloud.by,Директор по развитию / CTO,Генеральный директор — Гончар П.; IT-директор — Райкевич Р.; Коммерческий директор — Шарлай А.,+375 17 308-22-00,contact@activecloud.by; hr@activecloud.by,,B,собран
Hoster.by,IT,hoster.by,Директор по развитию / CTO,Генеральный директор — Повалишев С.,+375 17 239-57-02; +375 29 604-57-02; +375 33 604-57-02; +375 25 604-57-02,info@hoster.by; support@hoster.by,,B,собран
Bell Integrator,IT,bellintegrator.ru,Директор по развитию / CTO,Генеральный директор — Латин Ю.Э.,+375 17 218-33-53; +375 17 218-33-71; +375 29 650-27-27,info@bellintegrator.ru,,B,собран
Cotvec,IT,cotvec.com,Директор по развитию / CTO,CEO — Бессонов О.,+375 29 686-05-90,info@cotvec.com; hr@cotvec.com; pr@cotvec.com,,B,собран
Studio Borovogo,IT,db.by,Директор по развитию / CTO,Директор и сооснователь — Денисенков В.,+375 29 343-23-22; +375 17 395-78-68; +375 33 327-35-87,info@db.by,,B,собран
OpenMyGame,IT,openmygame.com,Директор по развитию / CTO,Сооснователь — Тимошков В.; Сооснователь — Вераксич С.,+375 29 665-39-49,support@openmygame.com,,B,собран
Artezio,IT,artezio.com,Директор по развитию / CTO,Основатель и исполнительный директор — Адылин П.; CTO — Павлов С.; Коммерческий директор — Коваленко И.,+375 33 332-78-16; +375 29 620-12-00; +375 17 359-23-51,hr@artezio.com,,B,собран
Aimprosoft,IT,aimprosoft.com,Директор по развитию / CTO,CEO и сооснователь — Иванов М.; Управляющий партнёр — Запорожец И.; CTO — Оболенский П.,,info@aimprosoft.com,,B,частично
Geomotiv,IT,geomotiv.com,Директор по развитию / CTO,Основатель и CEO — Лобко-Лобановский С.; COO — Харьковский А.; CTO — Заблоцкий Е.,+375 44 304-37-28,info@geomotiv.com; eor@geomotiv.com,,B,собран
iMedia Solutions,IT,imedia.by,Директор по развитию / CTO,Генеральный директор — Юдина В.,+375 17 348-14-94; +375 29 626-44-35; +375 33 654-44-35,info@imedia.by,,B,собран
WestTransLine,Логистика / транспорт,wtl.by,Директор по операциям / IT-директор,Директор — Винник А.П.,+375 17 390-92-92,office@wtl.by,,B,собран
Первая Транспортная Компания,Логистика / транспорт,1tk.by,Директор по операциям / IT-директор,,+375 29 196-33-33,,,B,частично
Трансконсалт,Логистика / транспорт,transconsult.by,Директор по операциям / IT-директор,Директор — Волковец С.,+375 29 557-58-52; +375 33 360-09-77; +375 29 348-44-44; +375 44 551-00-56; +375 29 611-85-60,info1@transconsult.by; sto.minsk@tc-service.by; shop@1tc.by,,B,собран
DPD Беларусь,Логистика / транспорт,dpd.by,Директор по операциям / IT-директор,,+375 17 388-03-20; +375 17 388-03-23; +375 17 300-57-20; 8 801 100-00-11; +375 162 29-07-21; +375 162 45-52-39; +375 212 23-42-61; +375 212 23-43-53; +375 152 61-12-01; +375 152 61-12-02; +375 222 78-61-68,info@dpd.by; order@dpd.by; order_by@dpd.by,,B,собран
СДЭК Беларусь,Логистика / транспорт,cdek.by,Директор по операциям / IT-директор,,8 800 250-04-05; +375 44 585-44-32,,,B,частично
AsstrA,Логистика / транспорт,asstra.by,Директор по операциям / IT-директор,Генеральный директор холдинга — Лагун Д.Г.; Региональный руководитель по Беларуси — Быков О.,+375 17 215-51-00; +375 17 388-53-88,office@asstra.by; hr_department@asstra.by,,B,собран
Интертрансавто,Логистика / транспорт,ita-logistic.by,Директор по операциям / IT-директор,Председатель совета директоров — Смоляр А.; Директор по логистике — Сушкевич Ю.; Финансовый директор — Левкович А.; Директор по перевозкам и операциям — Роговенко В.,+375 17 169-90-00,info@intertransavto.eu,,B,собран
Белмагистральавтотранс,Логистика / транспорт,bmat.by,Директор по операциям / IT-директор,Генеральный директор — Зенькевич А.Е.,+375 17 378-89-90; +375 17 378-89-84; +375 17 379-94-22; +375 17 354-89-82; +375 17 378-87-73; +375 17 378-92-80; +375 17 348-89-83; +375 17 374-89-76; +375 17 379-87-88,magistr@bmat.by; ekonom@bmat.by; tach@bmat.by,,B,собран
ВЛАТЕ Логистик,Логистика / транспорт,vlate.ru,Директор по операциям / IT-директор,Директор — Баранов О.,+375 152 92-99-01; +375 152 92-99-08,info@bruzgi.bremino.by,,B,собран
Современный логистический центр 24,Логистика / транспорт,mlc24.by,Директор по операциям / IT-директор,Директор по логистике — Кондрашова О.,+375 17 500-26-66; +375 44 797-73-59; +375 29 181-70-29,info@3pl.by; consult@mlc24.by,,B,собран
STA Logistic,Логистика / транспорт,sta-logistic.by,Директор по операциям / IT-директор,Директор — Герасименко Д.А.,+375 17 293-49-79,sta@sta-logistic.by,,B,собран
Глобалкастом,Логистика / транспорт,globalcustom.by,Директор по операциям / IT-директор,,+375 17 200-68-26; +375 29 371-29-88,info@globalcustom.by,,B,собран
Брествнештранс,Логистика / транспорт,bvtby.com,Директор по операциям / IT-директор,Заместитель директора — Дудчик В.Н.,+375 162 30-15-25; +375 29 325-32-32; +375 33 633-63-63; +375 162 30-15-67; +375 33 992-16-29; +375 29 797-83-25; +375 162 30-15-94; +375 162 30-15-80; +375 162 29-37-10; +375 162 30-15-35; +375 29 631-32-32,info@bvtby.com; market@bvtby.com; avto@bvtby.com; decl@bvtby.com; hr@bvtby.com; sto@bvtby.com; master@bvtby.com; b@bvtby.com,,B,собран
Дженти-Спедишн,Логистика / транспорт,jenty-spedition.by,Директор по операциям / IT-директор,Руководитель в Беларуси — Гуринович В.,+375 17 284-00-63,info@jenty-spedition.by,,B,собран
ИнтерЛогистик,Логистика / транспорт,interlogistic.by,Директор по операциям / IT-директор,,+375 17 323-76-63; +375 29 128-75-65; +375 17 323-78-45; +375 29 128-75-10; +375 17 323-78-36; +375 17 323-78-37; +375 29 628-75-40; +375 17 323-78-46; +375 29 128-75-50,info@interlogistic.by,,B,собран
Транзит Логистик,Логистика / транспорт,tlm.by,Директор по операциям / IT-директор,,+375 17 357-07-66; +375 33 390-37-36; +375 33 390-35-69; +375 33 671-34-87,info@tlm.by,,B,собран
Транспортир Групп,Логистика / транспорт,transportir.by,Директор по операциям / IT-директор,Управляющий директор — Гочикян К.,+375 17 318-09-99,belarus@transportir.com,,B,собран
Трансгрупплогистик,Логистика / транспорт,tgl.by,Директор по операциям / IT-директор,,+375 17 228-04-02; +375 17 222-75-51; +375 17 336-45-12; +375 17 336-45-13,auto@tgl.by; rw@tgl.by,,B,собран
Брестгрузтранслогистик,Логистика / транспорт,brestlogistic.by,Директор по операциям / IT-директор,Начальник — Ведь И.А.; Первый заместитель начальника - главный инженер — Макеенко А.С.,+375 162 26-22-60; +375 162 26-24-79; +375 162 58-09-79; +375 162 26-31-43,bgtl-n@brest.rw.by; bgtl-log2@brest.rw.by,,B,собран
Белкаспиан,Логистика / транспорт,belkaspian.by,Директор по операциям / IT-директор,Генеральный директор — Понедельченко К.В.,+375 17 342-70-64; +375 17 390-06-26; +375 17 207-36-83; +375 17 205-01-05,pk@belkaspian.by,,B,собран
Стройтрест №1,Строительство / девелопмент,trest1.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Бублик В.А.,+375 17 357-42-58; +375 17 353-12-17; +375 17 240-07-33; +375 17 342-22-14; +375 17 357-00-65; +375 17 352-78-11; +375 17 355-75-27; +375 17 363-16-58,post@trest1.by; post.su3@trest1.by,,B,собран
Стройтрест №4,Строительство / девелопмент,stroytrest4.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Ведёрчик А.М.; Заместитель генерального директора — Григорович В.В.,+375 17 334-14-67; +375 17 334-13-46,info@stroytrest4.by,,B,собран
Стройтрест №7,Строительство / девелопмент,stroytrest.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Шерман Б.М.,+375 17 369-17-41; +375 17 284-78-86,mail@stroytrest.by,,B,собран
Строительный трест №8,Строительство / девелопмент,stroytrest8.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Гордеюк Ю.М.,+375 162 54-83-94; +375 162 54-84-04; +375 162 56-30-14; +375 162 53-34-74,mail@stroytrest8.by,,B,собран
Стройтрест №35,Строительство / девелопмент,stroytrest35.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Крупинский В.М.,+375 17 331-41-89,info@stroytrest35.by,,B,собран
Стройтрест №3 Солигорск,Строительство / девелопмент,str3.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Олехнович Ю.В.,+375 174 23-66-44; +375 174 22-32-89; +375 174 26-01-71; +375 174 26-02-28,str3@str3.by; su95@str3.by; su149@str3.by,,B,собран
Строительный трест №14 Гомель,Строительство / девелопмент,stroytrest14.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Сильченко С.А.,+375 232 34-59-30; +375 232 34-59-55; +375 232 73-03-24,mail@stroytrest14.by,,B,собран
Строительный трест №21 Борисов,Строительство / девелопмент,str21.by,Коммерческий директор / директор по маркетингу,Директор — Топоров Д.Н.,+375 177 73-51-42; +375 177 73-26-18; +375 177 73-27-76; +375 177 73-15-33; +375 177 76-90-10; +375 44 799-55-66; +375 177 73-40-21,trest21@str21.by,,B,собран
Стройтрест №20 Светлогорск,Строительство / девелопмент,trest20.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Шереметов А.,+375 2342 7-78-21; +375 2342 7-79-37,info@trest20.by,,B,собран
Гомельпромстрой,Строительство / девелопмент,gomelpromstroy.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Гавриленко П.Л.,+375 232 21-03-05; +375 232 34-04-87; +375 232 34-05-54,mailusk@gomelpromstroy.by; mail@gomelpromstroy.by,,B,собран
Гродножилстрой,Строительство / девелопмент,ghb.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Ушкевич О.И.,+375 152 73-83-88; +375 152 73-84-08; +375 152 73-83-40; +375 152 73-83-41; +375 152 95-11-21; +375 152 73-84-96; +375 152 73-84-80; +375 152 73-84-59; +375 152 73-84-60,sale@ghb.by,,B,собран
Стройкомплекс,Строительство / девелопмент,stroycomplex.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Леоник А.З.,+375 17 358-02-98; +375 17 280-02-98; +375 17 280-96-95; +375 17 280-13-05; +375 17 280-95-09; +375 17 280-28-56,oao@stroycomplex.by,,B,собран
Строминвест,Строительство / девелопмент,strominvest.com,Коммерческий директор / директор по маркетингу,Директор — Коржовский В.В.,+375 17 389-73-72; +375 44 546-16-97; +375 29 608-00-55,hq.minsk@strominvest.com,,B,собран
Минскметрострой,Строительство / девелопмент,metrostroy.by,Коммерческий директор / директор по маркетингу,Генеральный директор — Косовец В.А.,+375 17 285-32-11; +375 17 294-11-07; +375 17 285-32-56; +375 17 285-32-05; +375 17 285-32-09; +375 17 285-32-20; +375 17 285-32-54; +375 17 364-59-41; +375 17 337-78-75,gmu@metrostroy.by; office@metrostroy.by,,B,собран
Промтехмонтаж,Строительство / девелопмент,ptm.by,Коммерческий директор / директор по маркетингу,,+375 17 397-14-85; +375 17 395-54-59; +375 17 294-84-52; +375 212 23-24-12; +375 174 20-08-16,ptm@ptm.by; mu1@ptm.by,,B,собран
